,Items,Origin,Items grouped,Category,Unit,amount,District,VDC,Village/Ward/extra info,lat,lon,District Latitude,District Longitude,Date,Location name,type
19,Sanitary napkins,,Medicine - supplies,Sanitation - supplies,pack,3.0,Bhaktapur,BhaktapurN.P.,,27.6748,85.4319,27.667340000000003,85.41673,2015-04-30,"BhaktapurN.P., ",list
20,Piyush,,Piyush,Sanitation - Water purification,bottle,3.0,Bhaktapur,BhaktapurN.P.,,27.6748,85.4319,27.667340000000003,85.41673,2015-04-30,"BhaktapurN.P., ",list
21,Sanitary napkins,,Medicine - supplies,Sanitation - supplies,pack,30.0,Bhaktapur,BhaktapurN.P.,,27.6748,85.4319,27.667340000000003,85.41673,2015-04-30,"BhaktapurN.P., ",list
22,Biscuits,,Biscuits,Food - Dry Food,box,24.0,Kathmandu District,KathmanduN.P.,Chamati,27.707309999999996,85.32218,27.707040000000003,85.33218000000001,2015-04-30,"KathmanduN.P., Chamati",list
23,Fruit based energy drinks,,Juice,Food - Drinks,box,1.0,Kathmandu District,KathmanduN.P.,Chamati,27.707309999999996,85.32218,27.707040000000003,85.33218000000001,2015-04-30,"KathmanduN.P., Chamati",list
24,Water,,Water,Food - Drinks,bottle,11.0,Kathmandu District,KathmanduN.P.,Chamati,27.707309999999996,85.32218,27.707040000000003,85.33218000000001,2015-04-30,"KathmanduN.P., Chamati",list
25,Jeevanjal,,Medicine - rehydration,Medicine,unit,13.0,Kabhre Palanchok,Kabhre Palanchok,,27.58333,85.66667,27.58333,85.66667,2015-04-30,"Kabhre Palanchok, ",list
26,Tent set,,Tarp,Shelter,unit,1.0,Kabhre Palanchok,Kabhre Palanchok,,27.58333,85.66667,27.58333,85.66667,2015-04-30,"Kabhre Palanchok, ",list
27,Bandage,,Medicine - supplies,Sanitation - supplies,unit,4.0,Kathmandu District,KirtipurN.P.,,27.67088,85.27748000000001,27.707040000000003,85.33218000000001,2015-04-30,"KirtipurN.P., ",list
28,Beaten rice,,Beaten Rice,Food - Dry Food,sack,1.0,Kathmandu District,KirtipurN.P.,,27.67088,85.27748000000001,27.707040000000003,85.33218000000001,2015-04-30,"KirtipurN.P., ",list
29,Betadine,,Medicine - drug,Medicine,bottle,1.0,Kathmandu District,KirtipurN.P.,,27.67088,85.27748000000001,27.707040000000003,85.33218000000001,2015-04-30,"KirtipurN.P., ",list
30,Jeevanjal,,Medicine - rehydration,Medicine,unit,50.0,Kathmandu District,KirtipurN.P.,,27.67088,85.27748000000001,27.707040000000003,85.33218000000001,2015-04-30,"KirtipurN.P., ",list
31,Metronidazole,,Medicine - drug,Medicine,tabs,400.0,Kathmandu District,KirtipurN.P.,,27.67088,85.27748000000001,27.707040000000003,85.33218000000001,2015-04-30,"KirtipurN.P., ",list
32,Metronidazole syrup,,Medicine - drug,Medicine,bottle,10.0,Kathmandu District,KirtipurN.P.,,27.67088,85.27748000000001,27.707040000000003,85.33218000000001,2015-04-30,"KirtipurN.P., ",list
33,Noodles,,Noodles,Food - Dry Food,box,2.0,Kathmandu District,KirtipurN.P.,,27.67088,85.27748000000001,27.707040000000003,85.33218000000001,2015-04-30,"KirtipurN.P., ",list
34,Piyush,,Piyush,Sanitation - Water purification,bottle,10.0,Kathmandu District,KirtipurN.P.,,27.67088,85.27748000000001,27.707040000000003,85.33218000000001,2015-04-30,"KirtipurN.P., ",list
35,Formula milk,,Formula milk,Sanitation - Children supplies,box,8.0,Kathmandu District,KathmanduN.P.,Balaju,27.707309999999996,85.32218,27.707040000000003,85.33218000000001,2015-04-30,"KathmanduN.P., Balaju",list
36,Milk feeding bottles,,Milk feeding bottles,Sanitation - Children supplies,bottle,7.0,Kathmandu District,KathmanduN.P.,Balaju,27.707309999999996,85.32218,27.707040000000003,85.33218000000001,2015-04-30,"KathmanduN.P., Balaju",list
37,Rope,,Rope,Shelter,unit,10.0,Kathmandu District,KathmanduN.P.,Brikutimandap,27.707309999999996,85.32218,27.707040000000003,85.33218000000001,2015-04-30,"KathmanduN.P., Brikutimandap",list
38,Tarp (leftover),,Tarp,Shelter,unit,10.0,Kathmandu District,KathmanduN.P.,Brikutimandap,27.707309999999996,85.32218,27.707040000000003,85.33218000000001,2015-04-30,"KathmanduN.P., Brikutimandap",list
39,Electrobin,,Medicine - rehydration,Medicine,unit,30.0,Kathmandu District,KathmanduN.P.,Maligoan,27.707309999999996,85.32218,27.707040000000003,85.33218000000001,2015-04-30,"KathmanduN.P., Maligoan",list
40,Glucose - D,,Medicine - drug,Medicine,bottle,5.0,Kathmandu District,Baluwa,Tokha,27.767670000000003,85.39192,27.707040000000003,85.33218000000001,2015-04-30,"Baluwa, Tokha",list
41,Metronidazole syrup,,Medicine - drug,Medicine,bottle,6.0,Kathmandu District,Baluwa,Tokha,27.767670000000003,85.39192,27.707040000000003,85.33218000000001,2015-04-30,"Baluwa, Tokha",list
42,Piyush,,Piyush,Sanitation - Water purification,bottle,4.0,Kathmandu District,Baluwa,Tokha,27.767670000000003,85.39192,27.707040000000003,85.33218000000001,2015-04-30,"Baluwa, Tokha",list
43,Acenac (muscular pains),,Medicine - drug,Medicine,tabs,50.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
44,Adhesive tape,,Medicine - supplies,Sanitation - supplies,rolls,1.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
45,Azifast (amoxil),,Medicine - drug,Medicine,tabs,30.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
46,Bandage,,Medicine - supplies,Sanitation - supplies,unit,32.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
47,Betadine,,Medicine - drug,Medicine,bottle,3.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
48,Brufen,,Medicine - drug,Medicine,bottle,20.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
49,Decold,,Medicine - drug,Medicine,tabs,40.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
50,Dettol soaps,,Medicine - supplies,Sanitation - supplies,unit,37.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
51,Electrobin,,Medicine - rehydration,Medicine,unit,24.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
52,Flexon,,Medicine - drug,Medicine,unit,6.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
53,hand sanitizer,,Medicine - supplies,Sanitation - supplies,bottle,1.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
54,Handiplast,,Medicine - supplies,Sanitation - supplies,unit,5.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
55,Imodium,,Medicine - drug,Medicine,tabs,20.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
56,Jeevanjal,,Medicine - rehydration,Medicine,unit,1.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
57,Metdil (anti diarea),,Medicine - drug,Medicine,tabs,100.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
58,Metronidazole,,Medicine - drug,Medicine,tabs,30.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
59,Omeprazole,,Medicine - drug,Medicine,tabs,40.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
60,Paracetamol (Niko),,Medicine - drug,Medicine,tabs,50.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
61,Paracetamol syrup,,Medicine - drug,Medicine,bottle,3.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
62,Perimox,,Medicine - drug,Medicine,bottle,2.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
63,Piyush,,Piyush,Sanitation - Water purification,bottle,7.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
64,Sancho,,Medicine - drug,Medicine,bottle,3.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
65,Sanitary napkins,,Medicine - supplies,Sanitation - supplies,pack,21.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
66,Seczylos,,Medicine - drug,Medicine,box,1.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
67,Volini,,Medicine - drug,Medicine,tubes,5.0,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,2015-04-30,"Bhardev, Bhardeudeldanda",list
68,Bandage,,Medicine - supplies,Sanitation - supplies,unit,24.0,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,2015-04-30,"Bungamati, ",list
69,Betadine,,Medicine - drug,Medicine,bottle,6.0,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,2015-04-30,"Bungamati, ",list
70,Flexon,,Medicine - drug,Medicine,unit,20.0,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,2015-04-30,"Bungamati, ",list
71,Gauze dressings,,Medicine - supplies,Sanitation - supplies,box,24.0,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,2015-04-30,"Bungamati, ",list
72,hand sanitizer,,Medicine - supplies,Sanitation - supplies,bottle,2.0,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,2015-04-30,"Bungamati, ",list
73,Jeevanjal,,Medicine - rehydration,Medicine,unit,50.0,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,2015-04-30,"Bungamati, ",list
74,Masks,,Masks,Sanitation - supplies,box,40.0,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,2015-04-30,"Bungamati, ",list
75,Metronidazole,,Medicine - drug,Medicine,tabs,200.0,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,2015-04-30,"Bungamati, ",list
76,Metronidazole syrup,,Medicine - drug,Medicine,bottle,10.0,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,2015-04-30,"Bungamati, ",list
77,Paracetamol (Niko),,Medicine - drug,Medicine,tabs,146.0,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,2015-04-30,"Bungamati, ",list
78,Sinex,,Medicine - supplies,Sanitation - supplies,tabs,20.0,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,2015-04-30,"Bungamati, ",list
79,Beaten rice,,Beaten Rice,Food - Dry Food,sack,5.0,Lalitpur,Devichour,,27.5635,85.28299999999999,27.58333,85.33333,2015-04-30,"Devichour, ",list
80,Biscuits,,Biscuits,Food - Dry Food,box,10.0,Lalitpur,Devichour,,27.5635,85.28299999999999,27.58333,85.33333,2015-04-30,"Devichour, ",list
81,Jeevanjal,,Medicine - rehydration,Medicine,unit,1.0,Lalitpur,Devichour,,27.5635,85.28299999999999,27.58333,85.33333,2015-04-30,"Devichour, ",list
82,Noodles,,Noodles,Food - Dry Food,box,7.0,Lalitpur,Devichour,,27.5635,85.28299999999999,27.58333,85.33333,2015-04-30,"Devichour, ",list
83,Paracetamol (Niko),,Medicine - drug,Medicine,tabs,80.0,Lalitpur,Devichour,,27.5635,85.28299999999999,27.58333,85.33333,2015-04-30,"Devichour, ",list
84,Piyush,,Piyush,Sanitation - Water purification,bottle,8.0,Lalitpur,Devichour,,27.5635,85.28299999999999,27.58333,85.33333,2015-04-30,"Devichour, ",list
85,Bandage,,Medicine - supplies,Sanitation - supplies,unit,5.0,Lalitpur,Lele,,27.5615,85.3303,27.58333,85.33333,2015-04-30,"Lele, ",list
86,Electrobin,,Medicine - rehydration,Medicine,unit,4.0,Lalitpur,Lele,,27.5615,85.3303,27.58333,85.33333,2015-04-30,"Lele, ",list
87,Paracetamol (Niko),,Medicine - drug,Medicine,tabs,30.0,Lalitpur,Lele,,27.5615,85.3303,27.58333,85.33333,2015-04-30,"Lele, ",list
88,Adhesive tape,,Medicine - supplies,Sanitation - supplies,rolls,1.0,Sindhupalchok,Sangachok,Jogitar,27.695320000000002,85.72073,27.829359999999998,85.54504,2015-04-30,"Sangachok, Jogitar",list
89,Bandage,,Medicine - supplies,Sanitation - supplies,unit,10.0,Sindhupalchok,Sangachok,Jogitar,27.695320000000002,85.72073,27.829359999999998,85.54504,2015-04-30,"Sangachok, Jogitar",list
90,Betadine,,Medicine - drug,Medicine,bottle,3.0,Sindhupalchok,Sangachok,Jogitar,27.695320000000002,85.72073,27.829359999999998,85.54504,2015-04-30,"Sangachok, Jogitar",list
91,Cotton,,Medicine - supplies,Sanitation - supplies,pack,2.0,Sindhupalchok,Sangachok,Jogitar,27.695320000000002,85.72073,27.829359999999998,85.54504,2015-04-30,"Sangachok, Jogitar",list
92,Dettol soaps,,Medicine - supplies,Sanitation - supplies,unit,4.0,Sindhupalchok,Sangachok,Jogitar,27.695320000000002,85.72073,27.829359999999998,85.54504,2015-04-30,"Sangachok, Jogitar",list
93,Diclofenac gel,,Medicine - drug,Medicine,unit,2.0,Sindhupalchok,Sangachok,Jogitar,27.695320000000002,85.72073,27.829359999999998,85.54504,2015-04-30,"Sangachok, Jogitar",list
94,Gloves,,Medicine - supplies,Sanitation - supplies,unit,10.0,Sindhupalchok,Sangachok,Jogitar,27.695320000000002,85.72073,27.829359999999998,85.54504,2015-04-30,"Sangachok, Jogitar",list
95,Handiplast,,Medicine - supplies,Sanitation - supplies,unit,60.0,Sindhupalchok,Sangachok,Jogitar,27.695320000000002,85.72073,27.829359999999998,85.54504,2015-04-30,"Sangachok, Jogitar",list
96,Jeevanjal,,Medicine - rehydration,Medicine,unit,20.0,Sindhupalchok,Sangachok,Jogitar,27.695320000000002,85.72073,27.829359999999998,85.54504,2015-04-30,"Sangachok, Jogitar",list
97,Masks,,Masks,Sanitation - supplies,box,20.0,Sindhupalchok,Sangachok,Jogitar,27.695320000000002,85.72073,27.829359999999998,85.54504,2015-04-30,"Sangachok, Jogitar",list
98,Metronidazole,,Medicine - drug,Medicine,tabs,50.0,Sindhupalchok,Sangachok,Jogitar,27.695320000000002,85.72073,27.829359999999998,85.54504,2015-04-30,"Sangachok, Jogitar",list
99,Metronidazole syrup,,Medicine - drug,Medicine,bottle,12.0,Sindhupalchok,Sangachok,Jogitar,27.695320000000002,85.72073,27.829359999999998,85.54504,2015-04-30,"Sangachok, Jogitar",list
100,Neomycin,,Medicine - supplies,Sanitation - supplies,tubes,2.0,Sindhupalchok,Sangachok,Jogitar,27.695320000000002,85.72073,27.829359999999998,85.54504,2015-04-30,"Sangachok, Jogitar",list
101,Paracetamol (Niko),,Medicine - drug,Medicine,tabs,130.0,Sindhupalchok,Sangachok,Jogitar,27.695320000000002,85.72073,27.829359999999998,85.54504,2015-04-30,"Sangachok, Jogitar",list
102,Piyush,,Piyush,Sanitation - Water purification,bottle,10.0,Sindhupalchok,Sangachok,Jogitar,27.695320000000002,85.72073,27.829359999999998,85.54504,2015-04-30,"Sangachok, Jogitar",list
103,Relax (anti inflamatory),,Medicine - drug,Medicine,tabs,80.0,Sindhupalchok,Sangachok,Jogitar,27.695320000000002,85.72073,27.829359999999998,85.54504,2015-04-30,"Sangachok, Jogitar",list
104,Sanitary napkins,,Medicine - supplies,Sanitation - supplies,pack,6.0,Sindhupalchok,Sangachok,Jogitar,27.695320000000002,85.72073,27.829359999999998,85.54504,2015-04-30,"Sangachok, Jogitar",list
105,Savlon,,Medicine - drug,Medicine,unit,1.0,Sindhupalchok,Sangachok,Jogitar,27.695320000000002,85.72073,27.829359999999998,85.54504,2015-04-30,"Sangachok, Jogitar",list
106,Beaten Rice,,Beaten Rice,Food - Dry Food,sack,15.0,Lalitpur,Badikhel,and also Godawari VDC,27.5887,85.3532,27.58333,85.33333,2015-05-01,"Badikhel, and also Godawari VDC",list
107,Biscuits,,Biscuits,Food - Dry Food,box,4.0,Lalitpur,Badikhel,and also Godawari VDC,27.5887,85.3532,27.58333,85.33333,2015-05-01,"Badikhel, and also Godawari VDC",list
108,Noodles,,Noodles,Food - Dry Food,box,15.0,Lalitpur,Badikhel,and also Godawari VDC,27.5887,85.3532,27.58333,85.33333,2015-05-01,"Badikhel, and also Godawari VDC",list
109,Tarp,,Tarp,Shelter,unit,10.0,Lalitpur,Badikhel,and also Godawari VDC,27.5887,85.3532,27.58333,85.33333,2015-05-01,"Badikhel, and also Godawari VDC",list
110,Food packages,,Food packages,Food - Supplies,unit,20.0,Lalitpur,Badikhel,and also Godawari VDC,27.5887,85.3532,27.58333,85.33333,2015-05-01,"Badikhel, and also Godawari VDC",list
111,Medical Kit,,Medical Kit,Medicine,unit,1.0,Lalitpur,Badikhel,and also Godawari VDC,27.5887,85.3532,27.58333,85.33333,2015-05-01,"Badikhel, and also Godawari VDC",list
112,Tarp,,Tarp,Shelter,unit,10.0,Lalitpur,Godawari,Kotgaun,27.59628,85.37102,27.58333,85.33333,2015-05-01,"Godawari, Kotgaun",list
113,Tarp,,Tarp,Shelter,unit,20.0,Sindhupalchok,Hagam,,27.831640000000004,85.81236,27.829359999999998,85.54504,2015-05-01,"Hagam, ",list
114,Tarp,,Tarp,Shelter,unit,10.0,Gorkha,Gakhu,Dandagaun,28.06,84.6238,28.33333,84.83333,2015-05-01,"Gakhu, Dandagaun",list
115,Tarp,,Tarp,Shelter,unit,3.0,Lalitpur,Sainbu,Pharsidol,27.6505,85.3063,27.58333,85.33333,2015-05-01,"Sainbu, Pharsidol",list
116,Rice,,Rice,Food - Dry Food,sack,1.0,Bhaktapur,Bhaktapur,,27.667340000000003,85.41673,27.667340000000003,85.41673,2015-05-01,"Bhaktapur, ",list
117,Medicine - supplies,,Medicine - supplies,Sanitation - supplies,unit,1.0,Bhaktapur,BhaktapurN.P.,,27.6748,85.4319,27.667340000000003,85.41673,2015-05-01,"BhaktapurN.P., ",list
118,Piyush,,Piyush,Sanitation - Water purification,bottle,1.0,Bhaktapur,BhaktapurN.P.,,27.6748,85.4319,27.667340000000003,85.41673,2015-05-01,"BhaktapurN.P., ",list
119,Medicine - drug,,Medicine - drug,Medicine,tabs,700.0,Lalitpur,Khokana,,27.6416,85.2962,27.58333,85.33333,2015-05-01,"Khokana, ",list
120,Medicine - rehydration,,Medicine - rehydration,Medicine,unit,24.0,Lalitpur,Khokana,,27.6416,85.2962,27.58333,85.33333,2015-05-01,"Khokana, ",list
121,Beaten Rice,,Beaten Rice,Food - Dry Food,sack,6.0,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,2015-05-01,"Sankhu, ",list
122,Biscuits,,Biscuits,Food - Dry Food,box,5.0,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,2015-05-01,"Sankhu, ",list
123,Noodles,,Noodles,Food - Dry Food,box,2.0,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,2015-05-01,"Sankhu, ",list
124,Medical Kit,,Medical Kit,Medicine,unit,1.0,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,2015-05-01,"Sankhu, ",list
125,Medicine - rehydration,,Medicine - rehydration,Medicine,unit,75.0,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,2015-05-01,"Sankhu, ",list
126,Piyush,,Piyush,Sanitation - Water purification,bottle,1.0,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,2015-05-01,"Sankhu, ",list
127,Lime,,Lime,Shelter,pack,6.0,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,2015-05-01,"Sankhu, ",list
128,Tarp,,Tarp,Shelter,unit,17.0,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,2015-05-01,"Sankhu, ",list
129,Biscuits,,Biscuits,Food - Dry Food,box,2.0,Lalitpur,Dalchoki,,27.5307,85.3306,27.58333,85.33333,2015-05-01,"Dalchoki, ",list
130,Medical Kit,,Medical Kit,Medicine,unit,1.0,Lalitpur,Dalchoki,,27.5307,85.3306,27.58333,85.33333,2015-05-01,"Dalchoki, ",list
131,Lime,,Lime,Shelter,pack,5.0,Lalitpur,Dalchoki,,27.5307,85.3306,27.58333,85.33333,2015-05-01,"Dalchoki, ",list
132,Tarp,,Tarp,Shelter,unit,14.0,Lalitpur,Dalchoki,,27.5307,85.3306,27.58333,85.33333,2015-05-01,"Dalchoki, ",list
133,Tarp,,Tarp,Shelter,unit,10.0,Kabhre Palanchok,DhulikhelN.P,Thakuri,27.6217,85.5576,27.58333,85.66667,2015-05-01,"DhulikhelN.P, Thakuri",list
134,Noodles,,Noodles,Food - Dry Food,box,3.0,Lalitpur,Nallu,Choughare,27.5481,85.3454,27.58333,85.33333,2015-05-01,"Nallu, Choughare",list
135,Rice,,Rice,Food - Dry Food,sack,3.0,Lalitpur,Nallu,Choughare,27.5481,85.3454,27.58333,85.33333,2015-05-01,"Nallu, Choughare",list
136,Medical Kit,,Medical Kit,Medicine,unit,3.0,Lalitpur,Nallu,Choughare,27.5481,85.3454,27.58333,85.33333,2015-05-01,"Nallu, Choughare",list
137,Tarp,,Tarp,Shelter,unit,24.0,Lalitpur,Nallu,Choughare,27.5481,85.3454,27.58333,85.33333,2015-05-01,"Nallu, Choughare",list
138,Beaten rice,,Beaten Rice,Food - Dry Food,sack,1.0,Bhaktapur,Bhaktapur,,27.667340000000003,85.41673,27.667340000000003,85.41673,2015-05-01,"Bhaktapur, ",list
139,Water,,Water,Food - Drinks,bottle,48.0,Bhaktapur,Bhaktapur,,27.667340000000003,85.41673,27.667340000000003,85.41673,2015-05-01,"Bhaktapur, ",list
140,Noodles,,Noodles,Food - Dry Food,box,1.0,Bhaktapur,Bhaktapur,,27.667340000000003,85.41673,27.667340000000003,85.41673,2015-05-01,"Bhaktapur, ",list
141,Beaten rice,,Beaten Rice,Food - Dry Food,sack,2.0,Lalitpur,Bhattedanda,Tinpane,27.5108,85.2961,27.58333,85.33333,2015-05-01,"Bhattedanda, Tinpane",list
142,Biscuits,,Biscuits,Food - Dry Food,box,7.0,Lalitpur,Bhattedanda,Tinpane,27.5108,85.2961,27.58333,85.33333,2015-05-01,"Bhattedanda, Tinpane",list
143,Glucose - D,,Medicine - drug,Medicine,bottle,16.0,Lalitpur,Bhattedanda,Tinpane,27.5108,85.2961,27.58333,85.33333,2015-05-01,"Bhattedanda, Tinpane",list
