Items,Origin,Items grouped,Item group filter,Category,Unit,amount,"FSC - KGs (sack=25, pack=1, box=4.5)",FSC - Total KGs,Mission,District,VDC,Village/Ward/extra info,VDC Latitude,VDC Longitude,District Latitude,District Longitude,Date
Jeevanjal,,Medicine - rehydration,3,Medicine,unit,1,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
Metdil (anti diarea),,Medicine - drug,2,Medicine,tabs,100,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
Metronidazole,,Medicine - drug,43,Medicine,tabs,30,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
Omeprazole,,Medicine - drug,48,Medicine,tabs,40,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
Paracetamol (Niko),,Medicine - drug,51,Medicine,tabs,50,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
Paracetamol syrup,,Medicine - drug,52,Medicine,bottle,3,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
Perimox,,Medicine - drug,58,Medicine,bottle,2,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
Piyush,,Piyush,1,Sanitation - Water purification,bottle,7,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
Sancho,,Medicine - drug,67,Medicine,bottle,3,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
Sanitary napkins,,Medicine - supplies,28,Sanitation - supplies,pack,21,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
Seczylos,,Medicine - drug,69,Medicine,box,1,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
Volini,,Medicine - drug,74,Medicine,tubes,5,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
Bandage,,Medicine - supplies,1,Sanitation - supplies,unit,24,Undefined,#VALUE!,MISSION 30/4 nosheet 11,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,30-Apr-15
Betadine,,Medicine - drug,14,Medicine,bottle,6,Undefined,#VALUE!,MISSION 30/4 nosheet 11,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,30-Apr-15
Flexon,,Medicine - drug,30,Medicine,unit,20,Undefined,#VALUE!,MISSION 30/4 nosheet 11,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,30-Apr-15
Gauze dressings,,Medicine - supplies,17,Sanitation - supplies,box,24,Undefined,#VALUE!,MISSION 30/4 nosheet 11,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,30-Apr-15
hand sanitizer,,Medicine - supplies,20,Sanitation - supplies,bottle,2,Undefined,#VALUE!,MISSION 30/4 nosheet 11,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,30-Apr-15
Jeevanjal,,Medicine - rehydration,3,Medicine,unit,50,Undefined,#VALUE!,MISSION 30/4 nosheet 11,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,30-Apr-15
Masks,,Masks,2,Sanitation - supplies,box,40,Undefined,#VALUE!,MISSION 30/4 nosheet 11,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,30-Apr-15
Metronidazole,,Medicine - drug,43,Medicine,tabs,200,Undefined,#VALUE!,MISSION 30/4 nosheet 11,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,30-Apr-15
Metronidazole syrup,,Medicine - drug,44,Medicine,bottle,10,Undefined,#VALUE!,MISSION 30/4 nosheet 11,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,30-Apr-15
Paracetamol (Niko),,Medicine - drug,51,Medicine,tabs,146,Undefined,#VALUE!,MISSION 30/4 nosheet 11,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,30-Apr-15
Sinex,,Medicine - supplies,29,Sanitation - supplies,tabs,20,Undefined,#VALUE!,MISSION 30/4 nosheet 11,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,30-Apr-15
Beaten rice,,Beaten Rice,1,Food - Dry Food,sack,5,25,125,MISSION 30/4 nosheet 12,Lalitpur,Devichour,,27.5635,85.283,27.58333,85.33333,30-Apr-15
Biscuits,,Biscuits,1,Food - Dry Food,box,10,4.5,45,MISSION 30/4 nosheet 12,Lalitpur,Devichour,,27.5635,85.283,27.58333,85.33333,30-Apr-15
Jeevanjal,,Medicine - rehydration,3,Medicine,unit,1,Undefined,#VALUE!,MISSION 30/4 nosheet 12,Lalitpur,Devichour,,27.5635,85.283,27.58333,85.33333,30-Apr-15
Noodles,,Noodles,1,Food - Dry Food,box,7,4.5,31.5,MISSION 30/4 nosheet 12,Lalitpur,Devichour,,27.5635,85.283,27.58333,85.33333,30-Apr-15
Paracetamol (Niko),,Medicine - drug,51,Medicine,tabs,80,Undefined,#VALUE!,MISSION 30/4 nosheet 12,Lalitpur,Devichour,,27.5635,85.283,27.58333,85.33333,30-Apr-15
Piyush,,Piyush,1,Sanitation - Water purification,bottle,8,Undefined,#VALUE!,MISSION 30/4 nosheet 12,Lalitpur,Devichour,,27.5635,85.283,27.58333,85.33333,30-Apr-15
Bandage,,Medicine - supplies,1,Sanitation - supplies,unit,5,Undefined,#VALUE!,MISSION 30/4 nosheet 13,Lalitpur,Lele,,27.5615,85.3303,27.58333,85.33333,30-Apr-15
Electrobin,,Medicine - rehydration,1,Medicine,unit,4,Undefined,#VALUE!,MISSION 30/4 nosheet 13,Lalitpur,Lele,,27.5615,85.3303,27.58333,85.33333,30-Apr-15
Paracetamol (Niko),,Medicine - drug,51,Medicine,tabs,30,Undefined,#VALUE!,MISSION 30/4 nosheet 13,Lalitpur,Lele,,27.5615,85.3303,27.58333,85.33333,30-Apr-15
Adhesive tape,,Medicine - supplies,2,Sanitation - supplies,rolls,1,Undefined,#VALUE!,MISSION 30/4 nosheet 14,Sindhupalchok,Sangachok,Jogitar,27.69532,85.72073,27.82936,85.54504,30-Apr-15
Bandage,,Medicine - supplies,1,Sanitation - supplies,unit,10,Undefined,#VALUE!,MISSION 30/4 nosheet 14,Sindhupalchok,Sangachok,Jogitar,27.69532,85.72073,27.82936,85.54504,30-Apr-15
Betadine,,Medicine - drug,14,Medicine,bottle,3,Undefined,#VALUE!,MISSION 30/4 nosheet 14,Sindhupalchok,Sangachok,Jogitar,27.69532,85.72073,27.82936,85.54504,30-Apr-15
Cotton,,Medicine - supplies,6,Sanitation - supplies,pack,2,Undefined,#VALUE!,MISSION 30/4 nosheet 14,Sindhupalchok,Sangachok,Jogitar,27.69532,85.72073,27.82936,85.54504,30-Apr-15
Dettol soaps,,Medicine - supplies,9,Sanitation - supplies,unit,4,Undefined,#VALUE!,MISSION 30/4 nosheet 14,Sindhupalchok,Sangachok,Jogitar,27.69532,85.72073,27.82936,85.54504,30-Apr-15
Diclofenac gel,,Medicine - drug,24,Medicine,unit,2,Undefined,#VALUE!,MISSION 30/4 nosheet 14,Sindhupalchok,Sangachok,Jogitar,27.69532,85.72073,27.82936,85.54504,30-Apr-15
Gloves,,Medicine - supplies,18,Sanitation - supplies,unit,10,Undefined,#VALUE!,MISSION 30/4 nosheet 14,Sindhupalchok,Sangachok,Jogitar,27.69532,85.72073,27.82936,85.54504,30-Apr-15
Handiplast,,Medicine - supplies,21,Sanitation - supplies,unit,60,Undefined,#VALUE!,MISSION 30/4 nosheet 14,Sindhupalchok,Sangachok,Jogitar,27.69532,85.72073,27.82936,85.54504,30-Apr-15
Jeevanjal,,Medicine - rehydration,3,Medicine,unit,20,Undefined,#VALUE!,MISSION 30/4 nosheet 14,Sindhupalchok,Sangachok,Jogitar,27.69532,85.72073,27.82936,85.54504,30-Apr-15
Masks,,Masks,2,Sanitation - supplies,box,20,Undefined,#VALUE!,MISSION 30/4 nosheet 14,Sindhupalchok,Sangachok,Jogitar,27.69532,85.72073,27.82936,85.54504,30-Apr-15
Metronidazole,,Medicine - drug,43,Medicine,tabs,50,Undefined,#VALUE!,MISSION 30/4 nosheet 14,Sindhupalchok,Sangachok,Jogitar,27.69532,85.72073,27.82936,85.54504,30-Apr-15
Metronidazole syrup,,Medicine - drug,44,Medicine,bottle,12,Undefined,#VALUE!,MISSION 30/4 nosheet 14,Sindhupalchok,Sangachok,Jogitar,27.69532,85.72073,27.82936,85.54504,30-Apr-15
Neomycin,,Medicine - supplies,25,Sanitation - supplies,tubes,2,Undefined,#VALUE!,MISSION 30/4 nosheet 14,Sindhupalchok,Sangachok,Jogitar,27.69532,85.72073,27.82936,85.54504,30-Apr-15
Paracetamol (Niko),,Medicine - drug,51,Medicine,tabs,130,Undefined,#VALUE!,MISSION 30/4 nosheet 14,Sindhupalchok,Sangachok,Jogitar,27.69532,85.72073,27.82936,85.54504,30-Apr-15
Piyush,,Piyush,1,Sanitation - Water purification,bottle,10,Undefined,#VALUE!,MISSION 30/4 nosheet 14,Sindhupalchok,Sangachok,Jogitar,27.69532,85.72073,27.82936,85.54504,30-Apr-15
Relax (anti inflamatory),,Medicine - drug,66,Medicine,tabs,80,Undefined,#VALUE!,MISSION 30/4 nosheet 14,Sindhupalchok,Sangachok,Jogitar,27.69532,85.72073,27.82936,85.54504,30-Apr-15
Sanitary napkins,,Medicine - supplies,28,Sanitation - supplies,pack,6,Undefined,#VALUE!,MISSION 30/4 nosheet 14,Sindhupalchok,Sangachok,Jogitar,27.69532,85.72073,27.82936,85.54504,30-Apr-15
Savlon,,Medicine - drug,68,Medicine,unit,1,Undefined,#VALUE!,MISSION 30/4 nosheet 14,Sindhupalchok,Sangachok,Jogitar,27.69532,85.72073,27.82936,85.54504,30-Apr-15
,,Beaten Rice,,Food - Dry Food,sack,15,25,375,MISSION 01/5 *02,Lalitpur,Badikhel,and also Godawari VDC,27.5887,85.3532,27.58333,85.33333,1-May-15
,,Biscuits,,Food - Dry Food,box,4,4.5,18,MISSION 01/5 *02,Lalitpur,Badikhel,and also Godawari VDC,27.5887,85.3532,27.58333,85.33333,1-May-15
,,Noodles,,Food - Dry Food,box,15,4.5,67.5,MISSION 01/5 *02,Lalitpur,Badikhel,and also Godawari VDC,27.5887,85.3532,27.58333,85.33333,1-May-15
,,Tarp,,Shelter,unit,10,Undefined,#VALUE!,MISSION 01/5 *02,Lalitpur,Badikhel,and also Godawari VDC,27.5887,85.3532,27.58333,85.33333,1-May-15
,,Food packages,,Food - Supplies,unit,20,Undefined,#VALUE!,MISSION 01/5 *03,Lalitpur,Badikhel,and also Godawari VDC,27.5887,85.3532,27.58333,85.33333,1-May-15
,,Medical Kit,,Medicine,unit,1,Undefined,#VALUE!,MISSION 01/5 *03,Lalitpur,Badikhel,and also Godawari VDC,27.5887,85.3532,27.58333,85.33333,1-May-15
,,Tarp,,Shelter,unit,10,Undefined,#VALUE!,MISSION 01/5 *04,Lalitpur,Godawari,Kotgaun,27.59628,85.37102,27.58333,85.33333,1-May-15
,,Tarp,,Shelter,unit,20,Undefined,#VALUE!,MISSION 01/5 *05,Sindhupalchok,Hagam,,27.83164,85.81236,27.82936,85.54504,1-May-15
,,Tarp,,Shelter,unit,10,Undefined,#VALUE!,MISSION 01/5 *06,Gorkha,Gakhu,Dandagaun,28.06,84.6238,28.33333,84.83333,1-May-15
,,Tarp,,Shelter,unit,3,Undefined,#VALUE!,MISSION 01/5 *07,Lalitpur,Sainbu,Pharsidol,27.6505,85.3063,27.58333,85.33333,1-May-15
,,Rice,,Food - Dry Food,sack,1,25,25,MISSION 01/5 *10,Bhaktapur,Bhaktapur,,27.66734,85.41673,27.66734,85.41673,1-May-15
,,Medicine - supplies,,Sanitation - supplies,unit,1,Undefined,#VALUE!,MISSION 01/5 *10,Bhaktapur,BhaktapurN.P.,,27.6748,85.4319,27.66734,85.41673,1-May-15
,,Piyush,,Sanitation - Water purification,bottle,1,Undefined,#VALUE!,MISSION 01/5 *10,Bhaktapur,BhaktapurN.P.,,27.6748,85.4319,27.66734,85.41673,1-May-15
,,Medicine - drug,,Medicine,tabs,700,Undefined,#VALUE!,MISSION 01/5 *11,Lalitpur,Khokana,,27.6416,85.2962,27.58333,85.33333,1-May-15
,,Medicine - rehydration,,Medicine,unit,24,Undefined,#VALUE!,MISSION 01/5 *11,Lalitpur,Khokana,,27.6416,85.2962,27.58333,85.33333,1-May-15
,,Beaten Rice,,Food - Dry Food,sack,6,25,150,MISSION 01/5 *12,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,1-May-15
,,Biscuits,,Food - Dry Food,box,5,4.5,22.5,MISSION 01/5 *12,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,1-May-15
,,Noodles,,Food - Dry Food,box,2,4.5,9,MISSION 01/5 *12,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,1-May-15
,,Medical Kit,,Medicine,unit,1,Undefined,#VALUE!,MISSION 01/5 *12,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,1-May-15
,,Medicine - rehydration,,Medicine,unit,75,Undefined,#VALUE!,MISSION 01/5 *12,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,1-May-15
,,Piyush,,Sanitation - Water purification,bottle,1,Undefined,#VALUE!,MISSION 01/5 *12,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,1-May-15
,,Lime,,Shelter,pack,6,Undefined,#VALUE!,MISSION 01/5 *12,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,1-May-15
,,Tarp,,Shelter,unit,17,Undefined,#VALUE!,MISSION 01/5 *12,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,1-May-15
,,Biscuits,,Food - Dry Food,box,2,4.5,9,MISSION 01/5 *13,Lalitpur,Dalchoki,,27.5307,85.3306,27.58333,85.33333,1-May-15
,,Medical Kit,,Medicine,unit,1,Undefined,#VALUE!,MISSION 01/5 *13,Lalitpur,Dalchoki,,27.5307,85.3306,27.58333,85.33333,1-May-15
,,Lime,,Shelter,pack,5,Undefined,#VALUE!,MISSION 01/5 *13,Lalitpur,Dalchoki,,27.5307,85.3306,27.58333,85.33333,1-May-15
,,Tarp,,Shelter,unit,14,Undefined,#VALUE!,MISSION 01/5 *13,Lalitpur,Dalchoki,,27.5307,85.3306,27.58333,85.33333,1-May-15
,,Tarp,,Shelter,unit,10,Undefined,#VALUE!,MISSION 01/5 *14,Kabhre Palanchok,DhulikhelN.P,Thakuri,27.6217,85.5576,27.58333,85.66667,1-May-15
,,Noodles,,Food - Dry Food,box,3,4.5,13.5,MISSION 01/5 *15,Lalitpur,Nallu,Choughare,27.5481,85.3454,27.58333,85.33333,1-May-15
,,Rice,,Food - Dry Food,sack,3,25,75,MISSION 01/5 *15,Lalitpur,Nallu,Choughare,27.5481,85.3454,27.58333,85.33333,1-May-15
,,Medical Kit,,Medicine,unit,3,Undefined,#VALUE!,MISSION 01/5 *15,Lalitpur,Nallu,Choughare,27.5481,85.3454,27.58333,85.33333,1-May-15
